time_ms,x_cm,y_cm,theta_rad,imu_yaw_deg
815163,1.836,-0.050,-0.0491,-1.73
815183,1.916,-0.054,-0.0463,-1.70
815203,1.981,-0.057,-0.0463,-1.65
815224,2.077,-0.061,-0.0469,-1.69
815243,2.174,-0.066,-0.0469,-1.72
815263,2.238,-0.069,-0.0471,-1.73
815283,2.319,-0.073,-0.0501,-1.77
815305,2.415,-0.078,-0.0506,-1.84
815323,2.496,-0.082,-0.0492,-1.89
815343,2.576,-0.086,-0.0519,-1.95
815363,2.672,-0.091,-0.0529,-2.04
815383,2.769,-0.096,-0.0582,-2.14
815403,2.849,-0.101,-0.0567,-2.22
815423,2.962,-0.107,-0.0550,-2.26
815443,3.075,-0.113,-0.0581,-2.31
815463,3.171,-0.119,-0.0590,-2.40
815484,3.284,-0.126,-0.0620,-2.52
815503,3.396,-0.133,-0.0647,-2.61
