t_ms,left_speed,right_speed,left_enc_cm,right_enc_cm
17936,7.5,15,68.34172,79.81257
17986,7.5,15,68.66394,80.42478
18037,7.5,15,68.98616,81.0692
18087,7.5,15,69.30836,81.68141
18138,7.5,15,69.63058,82.35806
18189,7.5,15,69.98502,83.00249
18241,7.5,15,70.30723,83.64692
18293,7.5,15,70.62945,84.29135
18344,7.5,15,70.98389,84.93578
18396,7.5,15,71.3061,85.54799
18446,7.5,15,71.62831,86.19241
18502,7.5,15,72.01497,86.90128
18556,7.5,15,72.33719,87.54572
18606,7.5,15,72.69162,88.19015
18657,7.5,15,73.04606,88.80235
18707,7.5,15,73.4005,89.44678
18758,7.5,15,73.75494,90.09122
18809,7.5,15,74.10937,90.73564
18861,7.5,15,74.46381,91.38007
18912,7.5,15,74.81824,92.05672
18962,7.5,15,75.17268,92.70116
19013,7.5,15,75.55933,93.3778
19063,7.5,15,75.88155,94.02223
19113,7.5,15,76.26821,94.69888
19165,7.5,15,76.62264,95.37553
19215,7.5,15,77.0093,96.08441
19267,7.5,15,77.39595,96.79328
19318,7.5,15,77.7504,97.50215
19369,7.5,15,78.13705,98.21102
19421,7.5,15,78.52371,98.91989
19472,7.5,15,78.87815,99.59654
19522,7.5,15,79.2648,100.3054
19573,7.5,15,79.65146,101.0143
19624,7.5,15,80.00589,101.8843
19689,7.5,15,80.45699,102.6254
19741,7.5,15,80.84366,103.302
19792,7.5,15,81.23031,104.0109
19844,7.5,15,81.61697,104.7198
19895,7.5,15,82.03584,105.3964
19946,7.5,15,82.42251,106.0731
19998,7.5,15,82.84138,106.7497
20051,0,0,83.26027,107.4586
